Método,Quadro (imagem),min_val,max_val
TM_CCOEFF,im1,-79062640.0,119077232.0
TM_CCOEFF,im2,-81894936.0,118046496.0
TM_CCOEFF,im3,-82806128.0,115494320.0
TM_CCOEFF,im4,-81869008.0,111801568.0
TM_CCOEFF,im5,-87796656.0,106090120.0
TM_CCOEFF,im6,-91248496.0,75308464.0
TM_CCOEFF,im7,-92393064.0,68166688.0
TM_CCOEFF,im8,-92947616.0,68213376.0
TM_CCOEFF,im9,-92111944.0,68258288.0
TM_CCOEFF,im10,-91065824.0,68015288.0
TM_CCOEFF,im11,-91399728.0,69021512.0
TM_CCOEFF,im12,-91807800.0,69501912.0
TM_CCOEFF,im13,-92103720.0,69669840.0
TM_CCOEFF,im14,-92408528.0,70246104.0
TM_CCOEFF,im15,-92575536.0,70738208.0
TM_CCOEFF,im16,-92675672.0,70933888.0
TM_CCOEFF,im17,-92794200.0,71412760.0
TM_CCOEFF,im18,-93159480.0,71612824.0
TM_CCOEFF,im19,-93308752.0,71821560.0
TM_CCOEFF,im20,-92727152.0,71832984.0
TM_CCOEFF,im21,-91635400.0,70912536.0
TM_CCOEFF,im22,-90410280.0,69769160.0
TM_CCOEFF,im23,-90347552.0,69645056.0
TM_CCOEFF,im24,-90363192.0,69554904.0
TM_CCOEFF,im25,-90919568.0,69412896.0
TM_CCOEFF,im26,-91413016.0,69494656.0
TM_CCOEFF,im27,-91865192.0,69371392.0
TM_CCOEFF,im28,-92048672.0,69399064.0
TM_CCOEFF,im29,-92194600.0,69075552.0
TM_CCOEFF,im30,-92113944.0,69079512.0
TM_CCOEFF,im31,-92122400.0,68979464.0
TM_CCOEFF,im32,-91804848.0,69046696.0
TM_CCOEFF,im33,-91492408.0,69059408.0
TM_CCOEFF,im34,-91169112.0,69148136.0
TM_CCOEFF,im35,-90611096.0,69052536.0
TM_CCOEFF,im36,-89969680.0,69088720.0
TM_CCOEFF,im37,-89345776.0,69564104.0
TM_CCOEFF,im38,-89388888.0,70788640.0
TM_CCOEFF,im39,-89696464.0,71791792.0
TM_CCOEFF,im40,-90184144.0,72809128.0
TM_CCOEFF,im41,-90260032.0,73642208.0
TM_CCOEFF,im42,-90265720.0,74075800.0
TM_CCOEFF,im43,-90523560.0,75002944.0
TM_CCOEFF,im44,-90752848.0,75569224.0
TM_CCOEFF,im45,-91419880.0,77608584.0
