Método,Quadro (imagem),min_val,max_val
TM_CCORR,im1,-144.0,586519552.0
TM_CCORR,im2,-160.0,586608128.0
TM_CCORR,im3,-160.0,586611328.0
TM_CCORR,im4,-128.0,586699008.0
TM_CCORR,im5,-176.0,586682944.0
TM_CCORR,im6,-160.0,586670976.0
TM_CCORR,im7,-144.0,586702464.0
TM_CCORR,im8,-128.0,586732992.0
TM_CCORR,im9,-144.0,586776512.0
TM_CCORR,im10,-144.0,586678272.0
TM_CCORR,im11,-144.0,586691328.0
TM_CCORR,im12,-160.0,586718848.0
TM_CCORR,im13,-192.0,586800384.0
TM_CCORR,im14,-136.0,586812928.0
TM_CCORR,im15,-144.0,586770944.0
TM_CCORR,im16,-168.0,586833408.0
TM_CCORR,im17,-136.0,586830080.0
TM_CCORR,im18,-144.0,586933696.0
TM_CCORR,im19,-144.0,587010432.0
TM_CCORR,im20,-168.0,587013760.0
TM_CCORR,im21,-144.0,587024320.0
TM_CCORR,im22,-160.0,587081472.0
TM_CCORR,im23,-160.0,587157376.0
TM_CCORR,im24,-160.0,587361664.0
TM_CCORR,im25,-160.0,587355584.0
TM_CCORR,im26,-152.0,587437056.0
TM_CCORR,im27,-160.0,588237568.0
TM_CCORR,im28,-128.0,588267904.0
TM_CCORR,im29,-128.0,588300928.0
TM_CCORR,im30,-128.0,588312832.0
TM_CCORR,im31,-160.0,588415616.0
TM_CCORR,im32,-144.0,588455424.0
TM_CCORR,im33,-160.0,588586368.0
TM_CCORR,im34,-128.0,588720256.0
TM_CCORR,im35,-152.0,588732544.0
TM_CCORR,im36,-160.0,589032000.0
TM_CCORR,im37,-160.0,589201408.0
TM_CCORR,im38,-128.0,589279616.0
TM_CCORR,im39,-160.0,589371648.0
TM_CCORR,im40,-128.0,589364928.0
TM_CCORR,im41,-144.0,589409152.0
TM_CCORR,im42,-128.0,589482432.0
TM_CCORR,im43,-128.0,589585024.0
TM_CCORR,im44,-128.0,589623808.0
TM_CCORR,im45,-160.0,589941952.0
TM_CCORR,im46,-192.0,590021888.0
TM_CCORR,im47,-160.0,590049536.0
TM_CCORR,im48,-160.0,590222848.0
TM_CCORR,im49,-160.0,590251136.0
TM_CCORR,im50,-128.0,590257280.0
TM_CCORR,im51,-144.0,590487680.0
TM_CCORR,im52,-128.0,590520320.0
TM_CCORR,im53,-144.0,590532800.0
TM_CCORR,im54,-160.0,590549568.0
TM_CCORR,im55,-160.0,590607808.0
TM_CCORR,im56,-144.0,590601664.0
TM_CCORR,im57,-160.0,591612288.0
TM_CCORR,im58,-168.0,591539456.0
TM_CCORR,im59,-128.0,591541504.0
TM_CCORR,im60,-144.0,591557248.0
TM_CCORR,im61,-160.0,591529344.0
TM_CCORR,im62,-128.0,591508224.0
TM_CCORR,im63,-136.0,591526336.0
TM_CCORR,im64,-160.0,591498624.0
TM_CCORR,im65,-144.0,591505856.0
TM_CCORR,im66,-144.0,591519616.0
TM_CCORR,im67,-160.0,591555072.0
TM_CCORR,im68,-128.0,591499136.0
TM_CCORR,im69,-160.0,591541504.0
TM_CCORR,im70,-144.0,591517568.0
TM_CCORR,im71,-144.0,591542208.0
TM_CCORR,im72,-128.0,591535488.0
TM_CCORR,im73,-144.0,591534144.0
TM_CCORR,im74,-128.0,591555136.0
TM_CCORR,im75,-128.0,591577472.0
TM_CCORR,im76,-128.0,591580416.0
TM_CCORR,im77,-160.0,591579520.0
TM_CCORR,im78,-152.0,591551360.0
TM_CCORR,im79,-160.0,591532736.0
TM_CCORR,im80,-160.0,591532672.0
TM_CCORR,im81,-128.0,591478272.0
TM_CCORR,im82,-160.0,591421952.0
TM_CCORR,im83,-160.0,591429952.0
TM_CCORR,im84,-192.0,591338368.0
TM_CCORR,im85,-144.0,591302080.0
TM_CCORR,im86,-144.0,591308864.0
TM_CCORR,im87,-128.0,590951552.0
TM_CCORR,im88,-136.0,590932608.0
TM_CCORR,im89,-192.0,590931968.0
TM_CCORR,im90,-160.0,591053184.0
TM_CCORR,im91,-160.0,591135552.0
TM_CCORR,im92,-160.0,591223872.0
TM_CCORR,im93,-144.0,591281920.0
TM_CCORR,im94,-136.0,591336832.0
TM_CCORR,im95,-144.0,591375168.0
TM_CCORR,im96,-160.0,591514368.0
TM_CCORR,im97,-144.0,591668992.0
TM_CCORR,im98,-160.0,591773824.0
TM_CCORR,im99,-128.0,591810432.0
TM_CCORR,im100,-160.0,591876608.0
TM_CCORR,im101,-128.0,591834496.0
TM_CCORR,im102,-160.0,591926144.0
TM_CCORR,im103,-160.0,591972864.0
TM_CCORR,im104,-136.0,592013504.0
TM_CCORR,im105,-160.0,592012032.0
TM_CCORR,im106,-160.0,592128512.0
TM_CCORR,im107,-160.0,592323904.0
