Método,Quadro (imagem),min_val,max_val
TM_CCORR_NORMED,im1,0.0,1.0
TM_CCORR_NORMED,im2,0.0,0.9998872876167297
TM_CCORR_NORMED,im3,0.0,0.9997501373291016
TM_CCORR_NORMED,im4,0.0,0.9998480677604675
TM_CCORR_NORMED,im5,0.0,0.9997786283493042
TM_CCORR_NORMED,im6,0.0,0.999553918838501
TM_CCORR_NORMED,im7,0.0,0.9989825487136841
TM_CCORR_NORMED,im8,0.0,0.9988369941711426
TM_CCORR_NORMED,im9,0.0,0.998817503452301
TM_CCORR_NORMED,im10,0.0,0.9985053539276123
TM_CCORR_NORMED,im11,0.0,0.9986345171928406
TM_CCORR_NORMED,im12,0.0,0.99897301197052
TM_CCORR_NORMED,im13,0.0,0.9989907145500183
TM_CCORR_NORMED,im14,0.0,0.9986477494239807
TM_CCORR_NORMED,im15,0.0,0.9980263113975525
TM_CCORR_NORMED,im16,0.0,0.9970237612724304
TM_CCORR_NORMED,im17,0.0,0.9965305328369141
TM_CCORR_NORMED,im18,0.0,0.9944711327552795
TM_CCORR_NORMED,im19,0.0,0.993294358253479
TM_CCORR_NORMED,im20,0.0,0.992916464805603
TM_CCORR_NORMED,im21,0.0,0.9895908236503601
TM_CCORR_NORMED,im22,0.0,0.9883297681808472
TM_CCORR_NORMED,im23,0.0,0.988115668296814
TM_CCORR_NORMED,im24,0.0,0.98682701587677
TM_CCORR_NORMED,im25,0.0,0.9858569502830505
TM_CCORR_NORMED,im26,0.0,0.9855186939239502
TM_CCORR_NORMED,im27,0.0,0.982009768486023
TM_CCORR_NORMED,im28,0.0,0.9795300960540771
TM_CCORR_NORMED,im29,0.0,0.9780290126800537
TM_CCORR_NORMED,im30,0.0,0.9751091599464417
TM_CCORR_NORMED,im31,0.0,0.9736371636390686
TM_CCORR_NORMED,im32,-0.0011883160332217813,0.9727755784988403
TM_CCORR_NORMED,im33,0.0,0.9704532623291016
TM_CCORR_NORMED,im34,0.0,0.9690873026847839
TM_CCORR_NORMED,im35,0.0,0.968719482421875
TM_CCORR_NORMED,im36,0.0,0.9669334888458252
TM_CCORR_NORMED,im37,0.0,0.9654220342636108
TM_CCORR_NORMED,im38,0.0,0.964089572429657
TM_CCORR_NORMED,im39,0.0,0.9608572125434875
TM_CCORR_NORMED,im40,0.0,0.9590429067611694
TM_CCORR_NORMED,im41,0.0,0.9579886198043823
TM_CCORR_NORMED,im42,0.0,0.9564846754074097
TM_CCORR_NORMED,im43,0.0,0.9572044610977173
TM_CCORR_NORMED,im44,0.0,0.9573913216590881
TM_CCORR_NORMED,im45,0.0,0.9571545124053955
TM_CCORR_NORMED,im46,0.0,0.9566493630409241
TM_CCORR_NORMED,im47,0.0,0.9562681317329407
TM_CCORR_NORMED,im48,0.0,0.9556182026863098
TM_CCORR_NORMED,im49,0.0,0.9556298851966858
TM_CCORR_NORMED,im50,0.0,0.9553113579750061
TM_CCORR_NORMED,im51,0.0,0.955916702747345
TM_CCORR_NORMED,im52,0.0,0.9563680291175842
TM_CCORR_NORMED,im53,0.0,0.95667964220047
TM_CCORR_NORMED,im54,0.0,0.9575183391571045
TM_CCORR_NORMED,im55,0.0,0.957527220249176
TM_CCORR_NORMED,im56,0.0,0.9579089283943176
TM_CCORR_NORMED,im57,0.0,0.9590197801589966
TM_CCORR_NORMED,im58,0.0,0.9593849182128906
TM_CCORR_NORMED,im59,0.0,0.9597920775413513
TM_CCORR_NORMED,im60,0.0,0.9605746865272522
TM_CCORR_NORMED,im61,0.0,0.9607110023498535
TM_CCORR_NORMED,im62,0.0,0.9606368541717529
TM_CCORR_NORMED,im63,0.0,0.9600729942321777
TM_CCORR_NORMED,im64,0.0,0.959988534450531
TM_CCORR_NORMED,im65,0.0,0.9604994058609009
TM_CCORR_NORMED,im66,0.0,0.9617033004760742
TM_CCORR_NORMED,im67,0.0,0.962125837802887
