Método,Quadro (imagem),min_val,max_val
TM_SQDIFF,im1,512.0,2574168320.0
TM_SQDIFF,im2,3299072.0,2574168320.0
TM_SQDIFF,im3,9713664.0,2574168320.0
TM_SQDIFF,im4,17799424.0,2574168576.0
TM_SQDIFF,im5,33197824.0,2574168320.0
TM_SQDIFF,im6,98201344.0,2574168576.0
TM_SQDIFF,im7,132923392.0,2574168576.0
TM_SQDIFF,im8,162158592.0,2574168320.0
TM_SQDIFF,im9,161472256.0,2574168576.0
TM_SQDIFF,im10,161556224.0,2574168320.0
TM_SQDIFF,im11,168973824.0,2574168320.0
TM_SQDIFF,im12,170715136.0,2574168576.0
TM_SQDIFF,im13,173981696.0,2574168320.0
TM_SQDIFF,im14,179423232.0,2574168320.0
TM_SQDIFF,im15,184155136.0,2574168576.0
TM_SQDIFF,im16,187103232.0,2574168320.0
TM_SQDIFF,im17,192157696.0,2574168320.0
TM_SQDIFF,im18,193582336.0,2574168320.0
TM_SQDIFF,im19,195580928.0,2574168320.0
TM_SQDIFF,im20,191475200.0,2574168064.0
TM_SQDIFF,im21,180404992.0,2574168320.0
TM_SQDIFF,im22,166866688.0,2574168832.0
TM_SQDIFF,im23,166151424.0,2574168320.0
TM_SQDIFF,im24,166019584.0,2574168576.0
TM_SQDIFF,im25,165579776.0,2574168320.0
TM_SQDIFF,im26,166233600.0,2574168832.0
TM_SQDIFF,im27,165589504.0,2574168064.0
TM_SQDIFF,im28,165693696.0,2574168576.0
TM_SQDIFF,im29,165654528.0,2574168320.0
TM_SQDIFF,im30,166192896.0,2574168320.0
TM_SQDIFF,im31,166136320.0,2574168320.0
TM_SQDIFF,im32,166941696.0,2574168064.0
TM_SQDIFF,im33,167245568.0,2574168832.0
TM_SQDIFF,im34,166736128.0,2574168576.0
TM_SQDIFF,im35,165738752.0,2574168064.0
TM_SQDIFF,im36,166762240.0,2574168320.0
TM_SQDIFF,im37,170251520.0,2574168320.0
TM_SQDIFF,im38,184404992.0,2574168576.0
TM_SQDIFF,im39,198547456.0,2574168320.0
TM_SQDIFF,im40,208328704.0,2574168576.0
TM_SQDIFF,im41,216872960.0,2574168320.0
TM_SQDIFF,im42,224138240.0,2574168576.0
TM_SQDIFF,im43,231685888.0,2574167808.0
TM_SQDIFF,im44,238179072.0,2574168320.0
TM_SQDIFF,im45,243165440.0,2574168576.0
TM_SQDIFF,im46,241797376.0,2574168832.0
TM_SQDIFF,im47,246336256.0,2574168832.0
TM_SQDIFF,im48,245954816.0,2574168576.0
TM_SQDIFF,im49,239775488.0,2574168320.0
TM_SQDIFF,im50,227071488.0,2574169344.0
TM_SQDIFF,im51,215470592.0,2574168832.0
TM_SQDIFF,im52,203396608.0,2574168832.0
TM_SQDIFF,im53,202475008.0,2574168832.0
TM_SQDIFF,im54,210299392.0,2574168576.0
TM_SQDIFF,im55,221561856.0,2574168576.0
TM_SQDIFF,im56,225796608.0,2574169088.0
TM_SQDIFF,im57,230931200.0,2574169088.0
TM_SQDIFF,im58,226429184.0,2574169088.0
TM_SQDIFF,im59,231303168.0,2574168320.0
